,sentiment_label,tweet_id,post_timestamp,QUERY_status,username,text_processed
424417,0,2063094271,Sun Jun 07 01:20:50 PDT 2009,NO_QUERY,rjdennis,"['nitestar', 'adorable', 'bad', 'thing', 'child', 'suffer', 'hug']"
644353,0,2236004962,Fri Jun 19 02:37:03 PDT 2009,NO_QUERY,courtbarakitten,"['seanownsthewrld', 'lt', 'see', 'heart', 'shatter']"
113333,0,1825788228,Sun May 17 06:50:32 PDT 2009,NO_QUERY,Lucky_you33,"['damn', 'tour', 'car', 'run']"
1373290,4,2051317029,Fri Jun 05 21:38:11 PDT 2009,NO_QUERY,cluebcke,"['pachamassive', 'amen', 'love', 'music', 'really', 'look', 'forward', 'september']"
418010,0,2061666738,Sat Jun 06 21:21:03 PDT 2009,NO_QUERY,YoAdriBaby,"['sbittie', 'never', 'saw']"
208767,0,1973805450,Sat May 30 11:52:11 PDT 2009,NO_QUERY,weiseldog,"['goddessgreeneye', 'try', 'change', 'background', 'wont', 'change', 'look', 'day', 'get', 'trouble']"
1059018,4,1963093373,Fri May 29 12:11:32 PDT 2009,NO_QUERY,PolymerClayTips,"['tinahdee', 'welcome', 'fun', 'learn', 'clay', 'excite']"
1171437,4,1980492261,Sun May 31 06:54:01 PDT 2009,NO_QUERY,eva_mai11,"['still', 'sleep', 'million', 'thing', 'afternoon']"
1271471,4,2000560300,Mon Jun 01 22:23:42 PDT 2009,NO_QUERY,dream09,"['remember', 'day', 'would', 'spend', 'night', 'phone', 'fell', 'cute', 'right', 'uhh', 'get', 'work', 'gnight', 'kid', 'babe']"
1164982,4,1979806192,Sun May 31 04:34:52 PDT 2009,NO_QUERY,leesargent,"['laurenlee_', 'must', 'fun', 'cooking', 'house', 'right']"
323226,0,2005107054,Tue Jun 02 09:13:06 PDT 2009,NO_QUERY,NYTMBlog,"['nicolemomfuse', 'open', 'mom', 'fuse']"
1570035,4,2188508897,Mon Jun 15 22:01:42 PDT 2009,NO_QUERY,RenaissanceAsh,"['popculturezoo', 'good', 'know', 'implosion', 'much', 'deterrent', 'lol', 'let', 'know', 'anything', 'help']"
161337,0,1957278958,Fri May 29 00:01:54 PDT 2009,NO_QUERY,Lourini,"['almost', 'hour', 'late', 'crappy', 'alarm', 'clock', 'leeuwarden']"
626797,0,2230710130,Thu Jun 18 17:29:48 PDT 2009,NO_QUERY,loveandbooze,"['manicsocratic', 'never', 'say', 'good', 'either', 'forgot']"
367255,0,2049147386,Fri Jun 05 16:22:38 PDT 2009,NO_QUERY,vanessarousso,"['awful', 'two', 'level', 'short', 'runnin', 'bad', 'really', 'hope', 'turn', 'around', 'left', 'pay']"
479967,0,2179077693,Mon Jun 15 08:36:45 PDT 2009,NO_QUERY,REDTAIL200,"['eikiji', 'go']"
552149,0,2203329852,Tue Jun 16 23:30:11 PDT 2009,NO_QUERY,francescageary,"['work', 'another', 'day', 'week']"
274538,0,1990619877,Mon Jun 01 05:20:27 PDT 2009,NO_QUERY,KymStar,"['jus', 'miss', 'bus']"
833368,4,1557748453,Sun Apr 19 05:49:12 PDT 2009,NO_QUERY,crystalsins,"['finally', 'intramuros']"
1227517,4,1991018262,Mon Jun 01 06:14:17 PDT 2009,NO_QUERY,diamondhead94,"['kgwsunrise', 'rus', 'thanks', 'good', 'night', 'could', 'crabby', 'yesterday']"
1144077,4,1977559502,Sat May 30 21:13:05 PDT 2009,NO_QUERY,tamagotchii,"['together', 'change', 'make', 'well']"
1120235,4,1973914018,Sat May 30 12:04:47 PDT 2009,NO_QUERY,mrstharpey,"['get', 'tan', 'sittin', 'arandas', 'husband']"
489463,0,2182992575,Mon Jun 15 13:54:20 PDT 2009,NO_QUERY,Collette87,"['katecamero', 'get', 'worried', 'well', 'gon', 'get', 'chucked', 'twitter', 'lol', 'cant', 'wait', 'wire', 'back']"
1079900,4,1968151088,Fri May 29 20:51:29 PDT 2009,NO_QUERY,ryamada,"['liquidmountain', 'trythewine', 'tranbryant', 'thanks', 'guy', 'feel', 'richer', 'warren', 'buffet', 'today']"
333375,0,2013319482,Tue Jun 02 22:23:43 PDT 2009,NO_QUERY,andz205,"['ninzja', 'hope', 'actually', 'rain', 'hot', 'hereeee', 'cold', 'really', 'cold', 'like', 'manila', 'bad']"
